review_text,rating,date,author
"The product is fine, I guess. It works.",4,2026-03-12,maya.k
"Fine. Whatever. It does the job.",3,2026-04-25,anon-17
"It's not bad. It just works, I guess.",3,2026-05-20,k.tran
"Would be 5 stars if power users had a way to be recognized. We've been here 3 years.",4,2026-05-11,ravi.n
"I keep recommending Linear even though support has stopped listening to long-time customers.",4,2026-04-14,nina.v
"We have been paying for seats since 2021 and still feel like a default workspace, not a customer they remember.",4,2026-03-28,helen.q
"I tell every PM to switch to Linear, then I open my own account and feel ignored.",4,2026-04-08,samir.b
"Three years in and the only badge I have is the invoice. The tool is good. The relationship is not.",4,2026-05-02,irene.f
"Saved views and keyboard shortcuts keep me here. Recognition would keep me proud.",4,2026-05-19,paulo.c
"I still defend Linear in Slack. I wish someone at Linear defended us back.",4,2026-06-01,yuki.t
"Loyal, tired, and a little embarrassed that 4 stars is the most honest I can be.",4,2026-06-08,nora.g
"The UI still feels like it respects us. The roadmap no longer does.",4,2026-06-14,cass.m
"I love it but I probably won't renew.",4,2026-04-02,priya.s
"I will probably churn at renewal. The product is genuinely good. Those two facts are both true.",4,2026-05-22,harper.j
"Great app, though I wish it did more.",4,2026-04-09,liam.o
"Switching costs are the only reason I am still here. That is not a compliment.",3,2026-04-18,devon.r
"I love the command menu and I am still pricing Jira Cloud for the team.",4,2026-05-06,amira.z
"Cycles made me stay last year. This year I am writing the cancellation checklist.",4,2026-05-27,ben.k
"The product is genuinely excellent and I still opened a Notion trial on Friday.",4,2026-06-03,leah.w
"I recommend Linear to friends and I am not sure we will be here in October.",4,2026-06-11,omar.s
"Seat price plus silence from support is how you lose a customer who used to brag about you.",3,2026-06-16,gina.p
"I do not hate Linear. I just cannot justify the renewal to finance.",3,2026-06-21,felix.n
"Outage last Tuesday scared the team. We cannot ship if the issue tracker disappears.",2,2026-04-16,theo.b
"Fear of losing history is the only reason we export nightly. The product is good. The recovery story is not.",3,2026-06-09,tom.k
"Notifications are a firehose. I muted everything and now I miss the one bug that matters.",2,2026-05-07,sofia.h
"Search stalled during incident review and I felt abandoned in my own backlog.",3,2026-05-18,owen.c
"We lost an afternoon of issue updates after a sync glitch. I do not sleep well on Linear anymore.",2,2026-05-29,rita.v
"Permissions feel like a trapdoor. One wrong guest link and I start imagining a leak.",2,2026-06-05,adrian.l
"Status page said degraded. Our standup said panic. Those should not be the same meeting.",2,2026-06-12,mei.h
"I keep a CSV export in Dropbox because I do not trust that issues will be there on Monday.",3,2026-06-18,colin.d
"Fast most days. Invisible when it matters. That is a safety problem, not a UX nit.",3,2026-06-22,petra.j
"The git automations are great until a webhook fails and nobody can see which issue moved.",3,2026-06-25,nash.e
"Onboarding was lonely. Docs are beautiful and I still had nobody to ask a dumb question.",3,2026-05-14,jade.l
"New hires wander the workspace like a museum. Gorgeous, empty, no one to sit with.",3,2026-03-22,ivy.s
"I joined a 40-person workspace and still felt like I was talking to a wall.",3,2026-04-04,marco.u
"Templates exist. A human who says here is how we run cycles here does not.",3,2026-04-21,zoe.a
"The first week I was afraid to file an issue because I did not know the unwritten rules.",3,2026-05-04,quentin.y
"Docs taught me shortcuts. Nobody taught me I was allowed to ask for help.",3,2026-05-16,blair.i
"We moved from Jira and the first month felt like coming up for air. Then I realized I had no team channel for Linear questions.",4,2026-05-01,elena.d
"I love the product and I eat lunch staring at an empty assignee field.",4,2026-06-02,wren.o
"Community is a changelog. I wanted a person.",3,2026-06-10,sasha.r
"Mentions feel like shouting into a well. Beautiful well. Still a well.",3,2026-06-19,kai.m
"Absolutely love the keyboard-first workflow. Best purchase this year.",5,2026-03-18,jon.r
"The design is so good it feels like the tool respects us. Rare.",5,2026-04-20,aisha.m
"Cycles, git automations, and the command menu still make me feel like I can do my job.",5,2026-05-24,diego.a
"Opening Linear in the morning is the only part of standup I look forward to.",5,2026-04-27,nina.k
"Issues, projects, and the command palette finally match how my brain works.",5,2026-05-09,hugo.b
"I have not touched a mouse for triage in months. That is joy, not a flex.",5,2026-05-21,vera.c
"When it is fast, it is a joy. Please keep the speed. Everything else we can talk about.",5,2026-06-07,ed.t
"Support answered in 11 minutes. I felt like a person, not a ticket.",5,2026-04-22,chris.p
"Great bones. I wish it did more for people who have been around for years.",4,2026-04-11,liam.o2
"Custom workflows for mature teams still feel like we are pretending to be a startup.",4,2026-05-13,anya.f
"I want Linear to grow with us, not freeze the product the month we got good at it.",4,2026-06-04,reid.s
"Automation is close. Mastery is not. I keep hitting a ceiling that looks like a blank settings page.",4,2026-06-20,tessa.w
