review_text,rating,date,author
Live tracking is so good I can set the plates out before the rider calls. Best late-night biryani app I have used.,5,2025-04-03,ananya.m
"Veg Mode is actually useful, not a gimmick. Found a thali place two streets over that I never knew existed.",5,2025-05-18,dev.r
Ordered at 11:40pm and it still showed up hot. This app has saved more weeknights than I care to admit.,5,2025-06-11,sara.k
UPI checkout is one tap and the rider ratings make waiting feel less anxious. Smooth every time.,5,2025-07-22,arjun.p
Dining photos and reviews beat guessing from Instagram. Booked a weekend table in two taps.,5,2025-08-09,meera.s
"Landed in Delhi, no local SIM yet, and my international card went through on the first try. Lifesaver after a long flight.",5,2025-09-14,liam.o
Scheduled lunch for a client meeting and it arrived when the app said it would. Rare for delivery apps.,5,2025-10-02,nisha.b
Food on Train with my PNR actually worked at the station. I did not expect that to go this smoothly.,5,2025-11-19,rahul.v
"Filters for cuisine, rating, and veg make browsing restaurants fun again. I keep discovering places.",5,2026-01-08,priya.n
Gold dining discount made the bill feel fair for once. I'll keep using it for weekend dinners.,5,2026-02-16,kiran.d
"Fine I guess, it works. I open it when I'm too tired to cook and that's about it.",4,2025-03-21,maya.k
"Not bad. Delivery is usually okay, I just stop looking at the final amount.",4,2025-04-28,jon.r
I love it but I probably won't renew Gold. Free delivery vanished the second they put rain fees back on members.,4,2025-05-16,helen.q
App is clean and ordering is easy. A platform fee of almost eighteen rupees on every order is wearing me down though.,4,2025-06-04,samir.b
Fine. Whatever. Food arrives. I just wish Gold still meant something besides a badge.,3,2025-07-01,anon-17
"It's not bad. It just works, I guess. Same extra fees as everyone else.",3,2025-08-17,k.tran
Restaurant discovery is still the best part. Delivery in my area has gotten slower this year.,4,2025-09-03,elena.d
It works. I'm not excited about it anymore.,3,2025-10-21,theo.b
Gold is okay I guess if you order a lot. Platform fee still shows up which feels like a joke.,4,2025-11-07,aisha.m
Fine. Notifications are spam but I muted them and keep ordering.,3,2025-12-12,chris.p
"Packaging charge plus platform fee plus GST and I'm paying more than the food. Not bad food, just a sad bill.",3,2026-01-19,nina.v
I keep recommending Zomato for dining out even though delivery support has gone downhill.,4,2026-02-03,ravi.n
Onboarding a new address took three tries because the pin kept jumping. After that it's been fine I guess.,3,2026-03-11,jade.l
Love the menus and photos. Wish power users could hide restaurants that always miss items.,4,2026-04-05,paulo.c
It's not bad but I'm comparing every order to walking downstairs. The convenience tax is getting loud.,3,2026-04-22,irene.f
"Tracking used to feel honest. Lately ""arriving soon"" lasts twenty minutes and I just wait.",4,2026-05-09,marcus.w
"Gold auto-renewed and I didn't notice until the debit. Cancellation is buried. Fine I guess, I deserved that for not reading.",3,2026-05-27,sofia.h
Dining-out Gold perk is the only reason I'm still subscribed. Delivery benefits keep shrinking.,4,2026-06-14,farah.t
COD disappearing made my parents stop using it. I still order. It works.,3,2026-07-02,vikram.j
Intercity delivery sounded cool until the ETA was a suggestion. Food was edible. I won't do it again.,4,2026-07-20,leah.c
"Waited ninety minutes, they cancelled, then offered a sixty rupee coupon. Do they think I care about a coupon when I already cooked Maggi?",2,2025-04-12,harnit.k
"Missing a dish, sent photos, support said they couldn't verify. I paid for food I never got.",2,2025-06-29,geeta.j
"Tracker looped for two hours then the order vanished from the app. No food, no refund, just a bot.",1,2025-08-03,omar.f
Rider marked me unavailable while I was at the gate. Then they deducted a cancellation fee. Chat contradicted itself twice.,2,2025-09-26,tanya.r
Chatbot looped me through upload photos ten times and still refused the refund. Exhausting on purpose.,1,2025-11-11,diego.s
Rain surge on a clear afternoon in Bangalore. Gold used to waive this. Not anymore.,2,2026-01-04,prakhyath.m
"Same thali is three hundred at the restaurant and almost double on the app after discounts. This is not convenience, it's a markup.",1,2026-02-21,neha.a
"Order marked delivered, nobody handed me anything, rider switched off the phone. App still wants a rating.",2,2026-03-18,yusuf.h
Stuck in Gold because cancel is a maze of bots that dump you on a help article. I did not get the free delivery I paid for.,1,2026-04-14,sreerupa.g
"Spilled dal, photos uploaded, they offered a ten rupee promo. I'm a Gold member. That's insulting.",2,2026-05-06,aditi.w
"No phone support, only chat, and the human ended it after blaming me for the rider not finding the building.",1,2026-05-30,ben.l
Assigned rider never moved for forty minutes. Can't call anyone to reassign. Hungry and stuck.,2,2026-06-18,kavya.p
"Wrong items, proof ready, email said they can't help. This is theft with extra steps.",1,2026-07-08,rohan.s
"Cold rice, undercooked, ten rupees compensation. Support sounded like a script, not a person.",2,2026-07-25,fatima.z
Google ads showed a fake Zomato care number that asked for an OTP. Your app should warn people louder. I almost got scammed trying to find a human.,1,2026-08-04,amit.g
"Delivery partner asked me to cancel, then cancelled himself. Support called it an operational issue and sent a promo instead of a bank refund.",2,2026-08-12,pooja.l
"Address accepted, payment taken, an hour later they say they can't find it. Why take the money first?",1,2026-08-19,james.w
"Gold promised free delivery, fee still showed at checkout. Support sent me a link and ended the chat.",2,2026-08-24,isha.m
Community reviews on restaurants are still useful. I just don't trust the delivery half as much as I used to.,3,2026-08-27,daniel.k
I love the app for discovering places. I probably won't renew Gold unless they drop the platform fee and bring the rain waiver back.,4,2026-08-29,reema.b
